tanggal,harga
04-08-2022,47950
05-08-2022,47950
08-08-2022,47950
09-08-2022,47950
10-08-2022,47950
11-08-2022,47950
12-08-2022,47950
15-08-2022,47950
16-08-2022,47950
18-08-2022,47950
19-08-2022,47950
22-08-2022,47950
23-08-2022,47950
24-08-2022,47950
25-08-2022,29450
26-08-2022,29450
29-08-2022,29450
30-08-2022,29450
31-08-2022,29450
01-09-2022,29450
02-09-2022,29450
05-09-2022,29450
06-09-2022,29450
07-09-2022,29450
08-09-2022,29450
09-09-2022,29450
12-09-2022,29450
13-09-2022,29450
14-09-2022,29450
15-09-2022,29450
16-09-2022,29450
19-09-2022,29450
20-09-2022,29450
21-09-2022,29450
22-09-2022,29450
23-09-2022,35300
26-09-2022,44800
27-09-2022,44800
28-09-2022,44800
29-09-2022,44800
30-09-2022,44800
03-10-2022,44800
04-10-2022,44800
05-10-2022,44800
06-10-2022,44800
07-10-2022,44800
10-10-2022,44800
11-10-2022,44800
12-10-2022,44800
13-10-2022,44800
14-10-2022,44800
17-10-2022,44800
18-10-2022,44800
19-10-2022,44800
20-10-2022,44800
21-10-2022,44800
24-10-2022,44800
25-10-2022,25050
26-10-2022,25050
27-10-2022,25050
28-10-2022,25050
31-10-2022,25050
01-11-2022,25050
02-11-2022,25050
03-11-2022,25050
04-11-2022,25050
07-11-2022,25050
08-11-2022,25050
09-11-2022,25050
10-11-2022,25050
11-11-2022,25050
14-11-2022,25050
15-11-2022,25050
16-11-2022,25050
17-11-2022,25050
18-11-2022,25050
21-11-2022,25050
22-11-2022,25050
23-11-2022,25050
24-11-2022,25050
25-11-2022,22500
28-11-2022,22500
29-11-2022,22500
30-11-2022,22500
01-12-2022,22500
02-12-2022,22500
05-12-2022,22500
